aop_elements,aop_elements_id,sort,mark1,mark2,mark3,mark4,mark5,Acronym,Trendency,Label
"Reduction, 17-OH-pregnenolone conversion in DHEA",1610,KE,Reduction,17-OH-pregnenolone conversion,DHEA,,,,Reduction,Y
"Reduction, 17-OH-progesterone conversion in androstenedione",1611,KE,Reduction,17-OH-progesterone conversion,androstenedione,,,,Reduction,Y
"Decrease, testosterone synthesis/level",1612,KE,Decrease,testosterone synthesis,testosterone level,,,,Decrease,Y
"Decrease, dihydrotestosterone (DHT) level",1613,KE,Decrease,dihydrotestosterone level,DHT level,,,,Decrease,Y
"Decrease, androgen receptors (AR) activation",1614,KE,Decrease,androgen receptors activation,AR activation,,,AR,Decrease,Y
Impaired inguinoscrotal testicular descent phase,1615,KE,Impairment,inguinoscrotal testicular descent phase,,,,,Impairment,Y
"Malformation, cryptorchidism - maldescended testis",1616,AO,Malformation,cryptorchidism - maldescended testis,,,,,Malformation,Y
"5α-reductase, inhibition",1617,MIE,Inhibition,5α-reductase,,,,,Inhibition,Y
"Increase, DNA methyltransferase inhibition",1619,MIE,Increase,DNA methyltransferase inhibition,,,,DNA,Increase,Y
"Increase, DNA hypomethylation",1620,KE,Increase,DNA hypomethylation,,,,DNA,Increase,Y
"Increase, Gene expression",1621,KE,Increase,Gene expression,,,,,Increase,Y
"Decrease, Transgenerational DNA methylation",1622,KE,Decrease,Transgenerational DNA methylation,,,,DNA,Decrease,Y
"Occurrence, Focal Seizure",1623,KE,Occurrence,Focal Seizure,,,,,Occurrence,Y
Inhibition of tyrosinase ,1627,MIE,Inhibition,tyrosinase ,,,,,Inhibition,Y
Reduction of L-Dopaquinone,1628,KE,Reduction,L-Dopaquinone,,,,,Reduction,Y
Reduction in melanin level,1629,KE,Reduction,melanin level,,,,,Reduction,Y
Reduction of melanosome level,1630,KE,Reduction,melanosome level,,,,,Reduction,Y
Reduction fo Pigmentation pattern ,1631,KE,Reduction,Pigmentation pattern ,,,,,Reduction,Y
Increase in reactive oxygen and nitrogen species (RONS),1632,MIE,Increase,reactive oxygen and nitrogen species,RONS,,,RONS,Increase,Y
Increase in reactive oxygen and nitrogen species (RONS),1632,KE,Increase,reactive oxygen and nitrogen species,RONS,,,RONS,Increase,Y
"Increase, Oxidative damage to DNA",1634,MIE,Increase,Oxidative damage,DNA,,,DNA,Increase,Y
"Increase, DNA strand breaks",1635,KE,Increase,DNA strand breaks,,,,DNA,Increase,Y
"Increase, Chromosomal aberrations",1636,KE,Increase,Chromosomal aberrations,,,,,Increase,Y
"Increase, Chromosomal aberrations",1636,AO,Increase,Chromosomal aberrations,,,,,Increase,Y
Retinaldehyde dehydrogenase inhibition,1637,MIE,Inhibition,Retinaldehyde dehydrogenase,,,,,Inhibition,Y
Decreased optical elements of the eye ,1640,KE,Decrease,optical elements,eye ,,,,Decrease,Y
Decreased retinoic acid (RA) synthesis,1641,KE,Decrease,retinoic acid synthesis,RA synthesis,,,,Decrease,Y
Decreased plasma RA level,1642,KE,Decrease,plasma RA level,,,,,Decrease,Y
Increased visual impairment,1643,KE,Increase,visual impairment,,,,,Increase,Y
Epithelial-mesenchymal transition,1650,KE,transition,Epithelial-mesenchymal,,,,,Transition,Y
Treatment-resistant gastric cancer,1651,AO,cancer,Treatment-resistant gastric,,,,,Cancer,Y
"Increase, S-adenosylmethionine depletion",1652,MIE,Increase,S-adenosylmethionine depletion,,,,,Increase,Y
Binding of inhibitor to mitochondrial complex III,1653,MIE,Binding,mitochondrial complex III,inhibitor,,,,Binding,Y
"Antagonism, Thyroid Receptor ",1656,MIE,Antagonism,Thyroid Receptor ,,,,,Antagonism,Y
Inhibition of cystathionine beta-synthase,1657,MIE,Inhibition,cystathionine beta-synthase,,,,,Inhibition,Y
Increased Homocysteine level ,1661,KE,Increase,Homocysteine level ,,,,,Increase,Y
"Increased, Plasma HCY level",1665,KE,Increase,Plasma HCY level,,,,,Increase,Y
"Induced, dysfunction of microcirculation",1666,KE,Induction,microcirculation,dysfunction,,,,Induction,Y
"Impaired,anterior-posterior axis development",1667,AO,Impairment,anterior-posterior axis development,,,,,Impairment,Y
Frustrated phagoytosis,1668,MIE,Frustration,phagoytosis,,,,,Frustration,Y
"Increased, DNA damage and mutation",1669,KE,Increase,DNA damage,DNA mutation,,,DNA,Increase,Y
Lung cancer,1670,AO,,cancer,Lung,,,,,Y
Substance - lung surfactant interaction,1671,MIE,interaction,Substance - lung surfactant,,,,,Interaction,Y
Disruption of lung surfactant function,1672,KE,Disruption,lung surfactant function,,,,,Disruption,Y
Alveolar collapse,1673,KE,collapsing,Alveolar,,,,,Collapsing,Y
Alveolar reopening,1674,KE,reopening,Alveolar,,,,,Reopening,Y
Loss of barrier function,1675,KE,Loss,barrier function,,,,,Loss,Y
Blood extravasation into the lungs,1676,KE,,Blood extravasation,lung,,,,,Y
Reduced lung volume ,1677,KE,Reduction,lung volume ,,,,,Reduction,Y
Acute inhalation toxicity,1679,AO,inhalation,Acute toxicity,,,,,inhalation,Y
"Inhibition, TBX1",1680,MIE,Inhibition,TBX1,,,,TBX1,Inhibition,Y
"Disruption, Neural crest cell migration",1681,KE,Disruption,Neural crest cell migration,,,,,Disruption,Y
"Disruption, Progenitor cells of second heart field",1682,KE,Disruption,Progenitor cells,second heart field,,,,Disruption,Y
"Impairment, Fourth pharyngeal arch development",1683,KE,Impairment,Fourth pharyngeal arch development,,,,,Impairment,Y
"Abnormalities, Cardiac outflow tract formation",1684,KE,Abnormalities,Cardiac outflow tract formation,,,,,Abnormalities,Y
"Anomalies, Congenital cardiac conotruncal",1685,AO,Anomalies,Congenital cardiac conotruncal,,,,,Anomalies,Y
Direct Deposition of Energy,1686,MIE,Deposition,Energy,,,,,Deposition,Y
"decrease, transcription of genes by AR ",1687,KE,decrease,transcription of genes,AR ,,,,Decrease,Y
"decrease, male anogenital distance",1688,AO,decrease,male anogenital distance,,,,,Decrease,Y
"reduction, testosterone levels ",1690,KE,Reduction,testosterone levels ,,,,,Reduction,Y
"Antagonism,LH receptor",1691,MIE,Antagonism,LH receptor,,,,LH,Antagonism,Y
"Reduction, Progesterone synthesis",1692,KE,Reduction,Progesterone synthesis,,,,,Reduction,Y
"Reduction, Plasma progesterone concentration ",1693,KE,Reduction,Plasma progesterone concentration ,,,,,Reduction,Y
"Reduction, progesterone uptake, decresed maturation ",1694,KE,Reduction,progesterone uptake,decresed maturation ,,,,Reduction,Y
Impaired ovulation,1695,KE,Impairment,ovulation,,,,,Impairment,Y
Decrease of egg production and cummulative fecundity,1696,KE,decrease,egg production,cummulative fecundity,,,,Decrease,Y
"Increase, DNA methyltransferase expression",1697,KE,Increase,DNA methyltransferase expression,,,,DNA,Increase,Y
"Increase, hypermethylation of the promotor region of gonadotropin releasing hormone receptor",1698,KE,Increase,gonadotropin releasing hormone receptor,hypermethylation,,,,Increase,Y
"Decrease, expression of gonadotropin releasing hormone receptor",1699,KE,Decrease,expression of gonadotropin releasing hormone receptor,,,,,Decrease,Y
Inhibition of IL-1 binding to IL-1 receptor,1700,MIE,Inhibition,IL-1 binding,IL-1 receptor,,,,Inhibition,Y
Suppression of  T cell activation,1702,KE,Suppression,T cell activation,,,,,Suppression,Y
Dysregulation of heart rate and vascular tone,1703,KE,Dysregulation,heart rate,vascular tone,,,,Dysregulation,Y
Impaired coordination and movement,1705,KE,Impairment,coordination,movement,,,,Impairment,Y
"Stimulation, TLR7/8 in dendritic cells",1706,MIE,Stimulation,TLR7/8,dendritic cells,,,TLR7/8,Stimulation,Y
"Overproduction of IL-23, matured dendritic cells",1707,KE,Overproduction,IL-23,matured dendritic cells,,,IL-23,Overproduction,Y
Overproduction of IL-17 from Th17 cells,1708,KE,Overproduction,IL-17,Th17 cells,,,IL-17,Overproduction,Y
Psoriatic skin disease,1709,AO,disease,Psoriatic skin,,,,,Disease,Y
Activation of estrogen receptor in immune cells,1710,MIE,Activation,GATA3 expression,immune cells,,,,Activation,Y
Induction of GATA3 expression by STAT6:ER fusion protein,1711,KE,Induction,GATA3 expression,STAT6:ER fusion protein,,,,Induction,Y
Overproduction of IL-4 from Th2 cell,1712,KE,Overproduction,IL-4,Th2 cell,,,IL-4,Overproduction,Y
Increase of anti-single/double-stranded DNA antibody from autoreactive B cell,1713,KE,Increase,anti-single DNA antibody,autoreactive B cell,double-stranded DNA antibody,,DNA,Increase,Y
Exacerbation of systemic lupus erythematosus,1714,AO,Exacerbation,systemic lupus erythematosus,,,,,Exacerbation,Y
Inhibition of JAK3,1715,MIE,Inhibition,JAK3,,,,JAK3,Inhibition,Y
Blockade of STAT5 phosphorylation,1716,KE,Blockade,STAT5 phosphorylation,,,,,Blockade,Y
Suppression of STAT5 binding to cytokine gene promoters,1717,KE,Suppression,STAT5 binding to cytokine gene promoters,,,,,Suppression,Y
Suppression of IL-2 production,1718,KE,Suppression,IL-2 production,,,,IL-2,Suppression,Y
Impairment of T-cell dependent antibody response,1719,AO,Impairment,T-cell dependent antibody response,,,,,Impairment,Y
Trypsin inhibition,1720,MIE,inhibition,Trypsin,,,,,Inhibition,Y
Increased intestinal monitor peptide level,1721,KE,Increase,intestinal monitor peptide level,,,,,Increase,Y
Increased blood CCK level,1722,KE,Increase,blood CCK level,,,,,Increase,Y
Increased exocrine secretion from pancreatic acinar cells,1723,KE,Increase,exocrine secretion,pancreatic acinar cells,,,,Increase,Y
Acinar cell proliferation,1724,KE,proliferation,Acinar cell,,,,,Proliferation,Y
Pancreatic acinar cell tumors,1725,AO,,Pancreatic acinar cell,tumor,,,,,Y
Enhanced viral entry and gene expression,1738,KE,enhancement,viral entry,gene expression,,,,Enhancement,Y
Binding of S protein to ACE receptor,1739,MIE,Binding,S protein,ACE receptor,,,,Binding,Y
ACE2 inhibition,1740,MIE,inhibition,ACE2,,,,ACE2,Inhibition,Y
Increase plasma Ang II,1743,KE,Increase,plasma Ang II,,,,,Increase,Y
"Increase, the risk of acute respiratory failure",1748,KE,Increase,the risk of acute respiratory failure,,,,,Increase,Y
Increase inflammatory immune responses,1750,KE,Increase,inflammatory immune responses,,,,,Increase,Y
Increases AngII,1752,KE,Increase,AngII,,,,,Increase,Y
Chronic reactive oxygen species,1753,MIE,,reactive oxygen species,chronic,,,,,Y
Sustained tissue damage / macrophage activation/ porcupine-induced Wnt secretion,1754,KE,sustainability,tissue damage,macrophage activation,porcupine-induced Wnt secretion,,,Suppression,Y
Proliferation/ beta-catenin activation,1755,KE,Proliferation,beta-catenin activation,,,,,Activation,Y
"Decreased, 11-ketotestosterone",1756,KE,Decrease,11-ketotestosterone,,,,,Decrease,Y
"Reduce, Sperm count",1757,AO,Reduction,Sperm count,,,,,Reduction,Y
"Impaired, Spermatogenesis",1758,KE,Impairment,Spermatogenesis,,,,,Impairment,Y
"Increase, Cripto-1 expression",1759,KE,Increase,Cripto-1 expression,,,,,Increase,Y
"Inhibition, Activin signaling",1760,KE,Inhibition,Activin signaling,,,,,Inhibition,Y
"Inhibition, Fin regeneration",1761,KE,Inhibition,Fin regeneration,,,,,Inhibition,Y
Urothelial cell injury/death,1762,KE,,cell death,Urothelial,cell injury,,,,Y
Urothelial Tumor,1763,AO,,Urothelial,Tumor,,,,,Y
"Increase, Formation of DNA photoproducts",1765,MIE,Increase,Formation of DNA photoproducts,,,,DNA,Increase,Y
"Increase, DNA double-strand break",1766,KE,Increase,DNA double-strand break,,,,DNA,Increase,Y
"Increase, Protein oxidation",1767,KE,Increase,Protein oxidation,,,,,Increase,Y
"Decrease, Osmoregulation",1768,KE,Decrease,Osmoregulation,,,,,Decrease,Y
"Increase, Body fluid overload",1769,KE,Increase,Body fluid overload,,,,,Increase,Y
"Decrease, Mitochondrial membrane potential",1770,KE,Decrease,Mitochondrial membrane potential,,,,,Decrease,Y
"Decrease, ATP production",1771,KE,Decrease,ATP production,,,,,Decrease,Y
"Decrease, Neutral lipids",1772,KE,Decrease,Neutral lipids,,,,,Decrease,Y
"Decrease, Global DNA methylation",1773,KE,Decrease,Global DNA methylation,,,,DNA,Decrease,Y
"Increase, Caspase transcription",1774,KE,Increase,Caspase transcription,,,,,Increase,Y
"Increase, Oocyte apoptosis",1775,KE,Increase,Oocyte apoptosis,,,,,Increase,Y
"Increase, Ovarian somatic cell apoptosis",1776,KE,Increase,Ovarian somatic cell apoptosis,,,,,Increase,Y
"Increase, Ovarian follicle breakdown",1777,KE,Increase,Ovarian follicle breakdown,,,,,Increase,Y
"Decrease, Heritable DNA methylation (F3)",1778,KE,Decrease,Heritable DNA methylation,F3,,,DNA,Decrease,Y
"Increase, Caspase transcription (F3)",1779,KE,Increase,Caspase transcription,F3,,,,Increase,Y
"Increase, Oocyte apoptosis (F3)",1780,KE,Increase,Oocyte apoptosis,F3,,,,Increase,Y
"Decrease, Fecundity (F3)",1781,AO,Decrease,Fecundity,F3,,,,Decrease,Y
"Decrease, Oogenesis (F3)",1782,KE,Decrease,Oogenesis,F3,,,,Decrease,Y
"Increase, Ovarian somatic cell apoptosis (F3)",1783,KE,Increase,Ovarian somatic cell apoptosis,F3,,,,Increase,Y
"Increase, Ovarian follicle breakdown (F3)",1784,KE,Increase,Ovarian follicle breakdown,F3,,,,Increase,Y
"Increase, ATP synthase inhibition",1785,MIE,Increase,ATP synthase inhibition,,,,,Increase,Y
"increase, retained nipples in males",1786,AO,Increase,retained nipples in males,,,,,Increase,Y
Status epilepticus,1788,KE,,epilepticus,Status,,,,,Y
"Reduction, 17beta-estradiol synthesis by the undifferentiated gonad ",1789,KE,Reduction,17beta-estradiol synthesis,undifferentiated gonad ,,,,Reduction,Y
"Increased, Differentiation to Testis ",1790,KE,Increase,Differentiation to Testis ,,,,,Increase,Y
"Increased, Male Biased Sex Ratio",1791,KE,Increase,Male Biased Sex Ratio,,,,,Increase,Y
Toll-like receptor 4 activation,1792,MIE,activation,Toll-like receptor 4,,,,,Activation,Y
Activator protein 1 activation,1793,KE,activation,Activator protein 1,,,,,Activation,Y
Pin-1 activation,1794,KE,activation,Pin-1,,,,,Activation,Y
Latent Transforming growth Factor beta expression,1795,KE,beta expression,Latent Transforming growth Factor,,,,,,Y
11β-hydroxylase inhibition,1796,MIE,inhibition,11β-hydroxylase,,,,,Inhibition,Y
Decreased plasma 11-KT level,1797,KE,Decrease,plasma 11-KT level,,,,,Decrease,Y
Decreased size and sperm volume,1798,KE,Decrease,sperm size,sperm volume,,,,Decrease,Y
Inhibition of 11β-HSD ,1799,MIE,Inhibition,11β-HSD,,,,,Inhibition,Y
metastatic breast cancer,1982,AO,,,,,,,,N
"Decrease, Reproduction",1863,AO,,,,,,,,N
Apoptotic cell death,1817,AO,,,,,,,,N
Memory Loss,1941,AO,,,,,,,,N
metastatic breast cancer,1982,AO,,,,,,,,N
Sensory axonal peripheral neuropathy,1583,AO,,,,,,,,N
Infant leukaemia,1254,AO,,,,,,,,N
"Decrease, Reproduction",1863,AO,,,,,,,,N
Apoptotic cell death,1817,AO,,,,,,,,N
"Increased, predation",588,AO,,,,,,,,N
"Increase, predation",623,AO,,,,,,,,N
"Increased, Population",1164,AO,,,,,,,,N
"Decreased, Reproductive Success",1141,AO,,,,,,,,N
"Increased, Reproductive Success",1163,AO,,,,,,,,N
"anogenital distance (AGD), decreased",1688,AO,,,,,,,,N
Memory Loss,1941,AO,,,,,,,,N
"impaired, Larval development",566,AO,,,,,,,,N
Heart failure ,1535,AO,,,,,,,,N
Increased Mortality,351,AO,,,,,,,,N
"N/A, Neurodegeneration",352,AO,,,,,,,,N
Reproductive failure,1277,AO,,,,,,,,N
"Impairment, Learning and memory",341,AO,,,,,,,,N
nan,n,AO,,,,,,,,N
"N/A, Breast Cancer",1193,AO,,,,,,,,N
Uterine adenocarcinoma (endometrioid adenocarcinoma Type I),2154,AO,,,,,,,,N
Chronic obstructive pulmonary disease,2008,AO,,,,,,,,N
Inflamatory events in light-exposed tissues,1599,AO,,,,,,,,N
"Decreased sperm quantity or quality in the adult, Decreased fertility ",520,AO,,,,,,,,N
"Tumorigenesis, Hepatocellular carcinoma",378,AO,,,,,,,,N
"Cognitive Function, Decreased ",402,AO,,,,,,,,N
"Accumulation, Liver lipid",455,AO,,,,,,,,N
"N/A, Liver fibrosis",344,AO,,,,,,,,N
"increase, Preeclampsia",1893,AO,,,,,,,,N
"Increased, Liver Steatosis",459,AO,,,,,,,,N
"Increase, Heritable mutations in offspring",336,AO,,,,,,,,N
"Increase, Cancer",885,AO,,,,,,,,N
"Reduce, Sperm count",1757,AO,,,,,,,,N
"Decreased, Decreased fecundity ",527,AO,,,,,,,,N
"Increase, Adenomas/carcinomas (renal tubular)",713,AO,,,,,,,,N
"Decreased fertility, Reduced number of oocytes ovulated ",972,AO,,,,,,,,N
"Hypospadias, increased",2082,AO,,,,,,,,N
"Nipple retention (NR), increased",1786,AO,,,,,,,,N
"Increase, hepatocellular adenomas and carcinomas",719,AO,,,,,,,,N
Prostate cancer,2135,AO,,,,,,,,N
"Decrease, Population growth rate",360,AO,,,,,,,,N
"Decreased, Population trajectory",442,AO,,,,,,,,N
"N/A, Impairment of reproductive capacity",337,AO,,,,,,,,N
Testicular Cancer,1839,AO,,,,,,,,N
Lung fibrosis,1276,AO,,,,,,,,N
Orofacial clefting,2042,AO,,,,,,,,N
"Decreased, Body Weight",864,AO,,,,,,,,N
"Increased, Adenomas/carcinomas (mammary)",1079,AO,,,,,,,,N
"Impaired recruitment , Population trajectory",1136,AO,,,,,,,,N
"Promotion, ovarian adenomas",1053,AO,,,,,,,,N
Urothelial Tumor,1763,AO,,,,,,,,N
Apoptosis,1262,AO,,,,,,,,N
Increased incidence of respiratory disease,2087,AO,,,,,,,,N
"impaired, Fertility",406,AO,,,,,,,,N
"Increase, Early Life Stage Mortality",947,AO,,,,,,,,N
"Decrease, Lung function",1250,AO,,,,,,,,N
Lung cancer,1670,AO,,,,,,,,N
Uroporphyria,369,AO,,,,,,,,N
"Promotion, mesovarian leiomyomas",1044,AO,,,,,,,,N
Chronic kidney disease,1603,AO,,,,,,,,N
Influenza A Virus (IAV) shedding and transmission,2194,AO,,,,,,,,N
Encephalitis,1841,AO,,,,,,,,N
Cerebrovascular disease (stroke),1875,AO,,,,,,,,N
Hyperinflammation,1868,AO,,,,,,,,N
"Viral infection and host-to-host transmission, proliferated",1939,AO,,,,,,,,N
dysgeusia,1850,AO,,,,,,,,N
Thrombosis and Disseminated Intravascular Coagulation,1846,AO,,,,,,,,N
Exacerbation of systemic lupus erythematosus (SLE),1714,AO,,,,,,,,N
"Occurrence, Epileptic seizure",613,AO,,,,,,,,N
"Increase, Mutations",185,AO,,,,,,,,N
Parkinsonian motor deficits,896,AO,,,,,,,,N
"Increased, Oxidative damage",356,AO,,,,,,,,N
Neural tube defects,1561,AO,,,,,,,,N
"Increase, Aneuploid offspring",728,AO,,,,,,,,N
"Increase, Mortality",350,AO,,,,,,,,N
"Cholestasis, Pathology",357,AO,,,,,,,,N
"Increased, mesotheliomas",1090,AO,,,,,,,,N
"Altered, Amphibian metamorphosis",1101,AO,,,,,,,,N
"Increase, Allergic Respiratory Hypersensitivity Response",313,AO,,,,,,,,N
"sensitisation, skin",827,AO,,,,,,,,N
"N/A, Reproductive failure",253,AO,,,,,,,,N
"Reduced, Reproductive Success",675,AO,,,,,,,,N
Neurodegeneration,1514,AO,,,,,,,,N
Liver Cancer,1395,AO,,,,,,,,N
"Increase, Site of Contact Nasal Tumors",872,AO,,,,,,,,N
"Increase, Adenomas/carcinomas (bronchioloalveolar)",736,AO,,,,,,,,N
"Increase, Leydig cell tumors",745,AO,,,,,,,,N
"Increase, Vascular disrupting effects",2161,AO,,,,,,,,N
Acute Myeloid Leukemia,1955,AO,,,,,,,,N
"Increase, lung cancer",1556,AO,,,,,,,,N
"Occurrence, Bone Loss",2091,AO,,,,,,,,N
Occurrence of Cataracts,2083,AO,,,,,,,,N
"Reduction, Cumulative fecundity and spawning",78,AO,,,,,,,,N
"Occurrence, Vascular Remodeling ",2069,AO,,,,,,,,N
Decrease of egg production and cummulative fecundity,1696,AO,,,,,,,,N
"Increased, Developmental Defects",1001,AO,,,,,,,,N
"Decrease, Fecundity",328,AO,,,,,,,,N
"Decrease, Fecundity (F3)",1781,AO,,,,,,,,N
Multi Organ Failure involving Acute Respiratory Distress Syndrome,1843,AO,,,,,,,,N
"Increased, adenosquamous carcinomas of endometrium",1070,AO,,,,,,,,N
"Thromboinflammation, Increased ",1916,AO,,,,,,,,N
"Decrease, Growth",1521,AO,,,,,,,,N
"Increase, Adenomas/carcinomas (follicular cell)",741,AO,,,,,,,,N
obesity,1447,AO,,,,,,,,N
"Increase, Papillomas/carcinomas (squamous cells)",779,AO,,,,,,,,N
"skewed, sex ratio",417,AO,,,,,,,,N
Metabolically unhealthy Obesity,2129,AO,,,,,,,,N
Insulin resistance,2018,AO,,,,,,,,N
"Impaired, Reproduction",1991,AO,,,,,,,,N
"Reduced, survival",592,AO,,,,,,,,N
Neurological disorder,2150,AO,,,,,,,,N
"N/A, Steatohepatisis",1489,AO,,,,,,,,N
"Inhibit, gastric ulcer formation",1367,AO,,,,,,,,N
"Increased, Disease susceptibility",323,AO,,,,,,,,N
"Increased, adenomas (pituitary)",1082,AO,,,,,,,,N
"Activated, gastric ulcer formation",1385,AO,,,,,,,,N
Sudden cardiac death,1964,AO,,,,,,,,N
"Decreased, survival",636,AO,,,,,,,,N
Testicular atrophy,1506,AO,,,,,,,,N
Facial cartilage structures are reduced in size and morphologically distorted,1559,AO,,,,,,,,N
"Decrease, Fertility",330,AO,,,,,,,,N
Necrotic Tissue,1548,AO,,,,,,,,N
Immune mediated hepatitis,1820,AO,,,,,,,,N
"Impairment, T-cell dependent antibody response",984,AO,,,,,,,,N
"Increase, Endometrial adenocarcinomas",773,AO,,,,,,,,N
"Decrease, Number of worker bees",572,AO,,,,,,,,N
"Increase, DNA damage",1194,AO,,,,,,,,N
Gestational diabetes mellitus,1953,AO,,,,,,,,N
Treatment-resistant gastric cancer,1651,AO,,,,,,,,N
"Malformation, cryptorchidism - maldescended testis",1616,AO,,,,,,,,N
Chemical induced Fanconi syndrome,1564,AO,,,,,,,,N
"Impaired,anterior-posterior axis development",1667,AO,,,,,,,,N
Impairment of T-cell dependent antibody response,1719,AO,,,,,,,,N
"Growth, reduction",1467,AO,,,,,,,,N
"Occurrence, Kidney toxicity",814,AO,,,,,,,,N
Liver Injury,1549,AO,,,,,,,,N
transposition of the great arteries,1970,AO,,,,,,,,N
"Increase risk, microcephaly",1978,AO,,,,,,,,N
"Increased, Male offspring",1208,AO,,,,,,,,N
"Increased, Kidney Failure",759,AO,,,,,,,,N
Pulmonary fibrosis,1458,AO,,,,,,,,N
"Decline, Population trajectory",679,AO,,,,,,,,N
"N/A, Liver Steatosis",345,AO,,,,,,,,N
"Increased, agitation",1345,AO,,,,,,,,N
"Increased, depression",1346,AO,,,,,,,,N
"Decreased sperm quantity / quality in the adult, Decreased fertility ",505,AO,,,,,,,,N
"Decreased Cholesterol, Decreased sperm quantity and/or quality in the adult testis",646,AO,,,,,,,,N
"Decreased fertility in the adult, Decreased sperm quantity and/or quality in the adult testis",543,AO,,,,,,,,N
"Increase, seizure",1348,AO,,,,,,,,N
Analgesia,1428,AO,,,,,,,,N
"Increased, seizure",1344,AO,,,,,,,,N
"Increased, steatosis",1418,AO,,,,,,,,N
"Death/Failure, Colony",563,AO,,,,,,,,N
"N/A, Cyanosis occurs",321,AO,,,,,,,,N
Hypertension,952,AO,,,,,,,,N
Hepatotoxicity,1291,AO,,,,,,,,N
"Formation, Liver fibrosis",840,AO,,,,,,,,N
"Increased, Pancreatic acinar tumors",1063,AO,,,,,,,,N
"Decreased, Viable Offspring",2147,AO,,,,,,,,N
"Increased, epilepsy",1363,AO,,,,,,,,N
Pyroptosis,1967,AO,,,,,,,,N
impaired olfactory function (anosmia) ,1873,AO,,,,,,,,N
Myocardial Infarction,1934,AO,,,,,,,,N
Anti-depressant Activity,1432,AO,,,,,,,,N
"Increased, amputations",591,AO,,,,,,,,N
"Reduced, feeding 1",587,AO,,,,,,,,N
"Increase, hypertension",1343,AO,,,,,,,,N
Psoriatic skin disease,1709,AO,,,,,,,,N
Atherosclerosis,1443,AO,,,,,,,,N
"Insulin resistance, increased",2119,AO,,,,,,,,N
"Formation, Hepatocellular and Bile duct tumors",856,AO,,,,,,,,N
"Anomalies, Congenital cardiac conotruncal",1685,AO,,,,,,,,N
Periventricular heterotopia formation,2095,AO,,,,,,,,N
Pancreatic acinar cell tumors,1725,AO,,,,,,,,N
"Loss, Cochlear function",319,AO,,,,,,,,N
"Increase, Adenomas/carcinomas (urothelial)",797,AO,,,,,,,,N
"impaired, Learning and memory",637,AO,,,,,,,,N
"Trigeminal and/or vagal nerve excitation causes Airway Hyper-responsiveness,Cough, Dyspnea",1223,AO,,,,,,,,N
Bronchiolitis obliterans,1588,AO,,,,,,,,N
"Promotion, ovarian granular cell tumors",1054,AO,,,,,,,,N
Necrosis,1263,AO,,,,,,,,N
Dysfunction of respiratory system,2088,AO,,,,,,,,N
"irregularities, ovarian cycle",405,AO,,,,,,,,N
"decreased, Intellectual Quotient",2121,AO,,,,,,,,N
Metabolic syndrome,2145,AO,,,,,,,,N
"Altered, Reproductive behaviour",363,AO,,,,,,,,N
"Decreased, population 1",765,AO,,,,,,,,N
"Promotion, Ovarian Cancer ",2092,AO,,,,,,,,N
"Increased, Ductal Hyperplasia ",1192,AO,,,,,,,,N
"Decline, Population",361,AO,,,,,,,,N
"Increased, hippocampal hyperdepolarization",1362,AO,,,,,,,,N
"impaired, Hive thermoregulation",568,AO,,,,,,,,N
"Increase, Chromosomal aberrations",1636,AO,,,,,,,,N
"Malformation, Male reproductive tract",348,AO,,,,,,,,N
Irritation of nasal mucosa inducing sneeze reflex,1434,AO,,,,,,,,N
"increased, Economic Burden",2122,AO,,,,,,,,N
"Decreased, Population size",997,AO,,,,,,,,N
"Altered, Larval development",339,AO,,,,,,,,N
"Alteration, Food-web structures",1210,AO,,,,,,,,N
"Increased Respiratory irritability and Chronic Cough, ",1226,AO,,,,,,,,N
"Impaired development of, Reproductive organs",364,AO,,,,,,,,N
"Inhibition, Feeding",1016,AO,,,,,,,,N
Inadequate DNA repair,155,KE,,,,,,,,N
Activation of Cyp2E1,1391,KE,,,,,,,,N
DNA double-strand break ,1461,KE,,,,,,,,N
"Decrease, Photosystem II efficiency",1862,KE,,,,,,,,N
"Releasing, Apoptosis-Inducing Factor (AIF)",2031,KE,,,,,,,,N
"Increased, serotonin (5-HT) ",626,KE,,,,,,,,N
"Increased, muscular waves in foot",625,KE,,,,,,,,N
"Increased, valve movement",1142,KE,,,,,,,,N
"Decrease, dihydrotestosterone (DHT) level",1613,KE,,,,,,,,N
Mitochondrial dysfunction,1816,KE,,,,,,,,N
"Abnormal, Roll change within caste",564,KE,,,,,,,,N
"Downregulation, ACE2",1787,KE,,,,,,,,N
Acetylcholine accumulation in synapses,10,KE,,,,,,,,N
Peptide Oxidation,209,KE,,,,,,,,N
"Increase, intracellular calcium",1339,KE,,,,,,,,N
"Increase, Inflammation",149,KE,,,,,,,,N
Epigenetic modification process,2152,KE,,,,,,,,N
Activation of inflammation pathway,2009,KE,,,,,,,,N
Oxidation of membrane lipids,1594,KE,,,,,,,,N
"Increased, Oxidative Stress",1088,KE,,,,,,,,N
"Increased, Induced Mutations in Critical Genes",376,KE,,,,,,,,N
"Induction, Upregulation of glucuronyltransferase activity",295,KE,,,,,,,,N
"Induction, CYP1A2/CYP1A5",850,KE,,,,,,,,N
"Suppression, VLDL secretion",450,KE,,,,,,,,N
"Up Regulation, CYP1A1",80,KE,,,,,,,,N
"dimerization, AHR/ARNT",944,KE,,,,,,,,N
"Activation, AKT2",484,KE,,,,,,,,N
